PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
Wfnti,6k1/1p6/4p3/1P2BpP1/8/1r3B2/6K1/8 w - - 3 50,f3b7 b3b5 b7f3 b5e5,1303,78,70,103,crushing endgame fork short,https://lichess.org/HWjHo2AR#99,
WrdLR,8/6pp/3R4/N1Pb4/3k1PK1/2r4P/8/8 b - - 0 41,c3c5 a5b3 d4c4 b3c5,1091,80,63,147,crushing endgame master pin short,https://lichess.org/qQkoNuge/black#82,
WnB8i,8/5k2/2NK4/3P4/1P6/8/3r4/8 b - - 8 67,f7e8 b4b5 d2b2 c6d4 e8f7 d6c6,2105,81,65,46,crushing defensiveMove endgame long quietMove,https://lichess.org/DY7LhIML/black#134,
tH3o3,7k/1p1b1qp1/p4rn1/2bp2R1/P2p1p1P/1B1PrN2/1PPB1Q1K/6R1 b - - 8 31,f7e6 g5h5 h8g8 b3d5,2067,76,94,13096,crushing master middlegame pin short,https://lichess.org/AHHQeepi/black#62,
11Cv5,r1bk3r/pp1q1pp1/7p/2BP1n2/8/1Q6/P4PPP/R3R1K1 b - - 0 18,h8e8 c5b6 a7b6 b3b6 d7c7 e1e8 d8e8 b6c7,1803,80,71,76,crushing deflection exposedKing middlegame sacrifice veryLong,https://lichess.org/drOaeqz0/black#36,Sicilian_Defense Sicilian_Defense_Open
Omtqh,8/1p4pp/8/2K2P2/6P1/3k3P/8/8 b - - 0 40,d3e3 g4g5 e3f4 f5f6 g7f6 g5f6,1537,74,84,181,crushing endgame long pawnEndgame quietMove,https://lichess.org/0pmM2y78/black#80,
anufh,r1b1k2r/ppq2pp1/2nbp3/2pp3p/3P2n1/2N1PN1P/PPP2PP1/R1BQRBK1 w kq - 4 10,e3e4 d6h2 f3h2 c7h2,1267,105,50,59,kingsideAttack mate mateIn2 opening short,https://lichess.org/4VSgcRnw#19,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
Jja4k,3r2k1/5p1p/p4p2/1p2q3/2p2R2/P4QP1/1PP4P/1K6 w - - 2 32,f4f6 e5e1 b1a2 d8d1 f3d1 e1d1,1729,75,88,369,advantage endgame long quietMove,https://lichess.org/3lmLICsm#63,
gBA0n,5rk1/pp3rpp/2p1p1p1/8/2PPPbP1/P4N1P/P7/3R1RK1 b - - 0 21,f4e5 f3e5 f7f1 d1f1,856,81,78,163,advantage endgame hangingPiece short,https://lichess.org/lb6SN344/black#42,
taVOj,8/3k1pp1/2n1p2p/p1p1PP2/P3B1PP/3K4/8/8 w - - 9 57,e4c6 d7c6 d3c4 e6f5,1325,77,91,570,crushing endgame short,https://lichess.org/ODKB3Ti5#113,
Q6HJI,3r2k1/8/p3p1p1/1p4P1/3qb3/3N3R/PP1K3Q/R7 w - - 4 27,a1b1 e4d3 h3h8 d4h8 h2h8 g8h8,1970,76,93,3483,advantage long middlegame,https://lichess.org/8qg9chYU#53,
RFUQO,8/pp3Q2/2b1p1pk/4P3/8/2q3NP/P5PK/8 w - - 3 35,f7e6 c3c2 g3f5 c2f5 e6f5 g6f5,1759,74,98,1190,advantage endgame long,https://lichess.org/N7naC5rM#69,
84lw4,rnbq1rk1/ppp3pp/1b1p4/3Pp3/2P1N3/4pN1P/PP2BKP1/R1BQ1R2 w - - 0 12,c1e3 d8h4 g2g3 h4e4,1839,75,98,2809,advantage middlegame pin short,https://lichess.org/FQTOdxco#23,Indian_Defense Indian_Defense_Budapest_Defense
WumA0,4r3/p5Rp/2pb4/2pp4/4p3/5P2/PPP1NK1k/8 b - - 1 29,e4f3 g7h7,1129,213,67,12,endgame mate mateIn1 oneMove,https://lichess.org/Zwnz4mMb/black#58,
bHonA,7Q/5kr1/5p2/8/5P1P/P4qP1/1P3P2/6K1 b - - 0 34,f3f4 h8g7 f7g7 g3f4,1779,107,70,22,crushing endgame master short,https://lichess.org/UqZmuPmQ/black#68,
